target,takeover_count,first_round,last_round,round_span,actors,policies,field_types,owners_before,max_contested,max_cooldown_until,total_korn_cost,avg_korn_cost,cost_1_count,cost_2_count,cost_3_count
"(0, -1)",23,9,77,69,enemy|player,cap_aware_balanced|rusher,Korn,enemy|player,23,80,47,2.04,6,10,7
"(-1, 0)",22,8,77,70,enemy|player,cap_aware_balanced|rusher,Holz|Korn,enemy|player,22,80,39,1.77,9,9,4
"(3, 0)",20,20,77,58,enemy|player,cap_aware_balanced|rusher,Holz,enemy|player,20,80,44,2.2,5,6,9
"(1, -2)",19,12,77,66,enemy|player,cap_aware_balanced|rusher,Korn,enemy|player,19,80,40,2.11,4,9,6
"(-2, 3)",18,13,79,67,enemy|player,cap_aware_balanced|rusher,Holz|Korn,enemy|player,18,82,27,1.5,10,7,1
"(2, -3)",18,24,76,53,enemy|player,cap_aware_balanced|rusher,Holz|Korn,enemy|player,18,79,33,1.83,6,9,3
"(-1, 1)",15,15,79,65,enemy|player,cap_aware_balanced|rusher,Holz|Korn,enemy|player,15,82,29,1.93,5,6,4
"(3, -4)",14,27,77,51,enemy|player,cap_aware_balanced|rusher,Holz|Korn,enemy|player,14,80,31,2.21,4,3,7
"(3, 1)",14,34,78,45,enemy|player,cap_aware_balanced|rusher,Holz|Korn,enemy|player,14,81,35,2.5,0,7,7
"(-2, 4)",14,39,76,38,enemy|player,cap_aware_balanced|rusher,Holz|Korn,enemy|player,14,79,30,2.14,5,2,7
"(-2, 2)",13,10,76,67,enemy|player,cap_aware_balanced|rusher,Holz|Korn,enemy|player,13,79,19,1.46,10,0,3
"(4, -1)",12,34,78,45,enemy|player,cap_aware_balanced|rusher,Holz|Korn,enemy|player,12,81,32,2.67,0,4,8
"(-1, 2)",9,20,58,39,enemy|player,cap_aware_balanced|rusher,Korn,enemy|player,9,61,18,2.0,4,1,4
"(3, -1)",8,30,55,26,enemy|player,cap_aware_balanced|rusher,Holz,enemy|player,8,58,16,2.0,4,0,4
"(-2, 1)",8,10,31,22,enemy|player,cap_aware_balanced|rusher,Stein,enemy|player,8,34,12,1.5,5,2,1
"(0, 0)",7,14,59,46,enemy|player,cap_aware_balanced|rusher,Holz|Korn,enemy|player,7,62,15,2.14,3,0,4
"(0, 1)",7,16,59,44,enemy|player,cap_aware_balanced|rusher,Holz|Korn,enemy|player,7,62,14,2.0,3,1,3
"(-3, 0)",6,15,79,65,enemy|player,cap_aware_balanced|rusher,Holz|Korn,enemy|player,6,82,12,2.0,2,2,2
"(-2, 0)",6,7,28,22,enemy|player,cap_aware_balanced|rusher,Holz,enemy|player,6,31,10,1.67,3,2,1
"(0, -2)",6,26,42,17,enemy|player,cap_aware_balanced|rusher,Holz|Korn,enemy|player,6,45,9,1.5,3,3,0
"(-3, 3)",5,13,30,18,enemy|player,cap_aware_balanced|rusher,Holz,enemy|player,5,33,11,2.2,1,2,2
"(2, -2)",4,61,69,9,enemy|player,cap_aware_balanced|rusher,Korn,enemy|player,4,72,8,2.0,2,0,2
"(2, 1)",4,36,42,7,enemy|player,cap_aware_balanced|rusher,Holz,enemy|player,4,45,8,2.0,2,0,2
"(4, -2)",4,46,52,7,enemy|player,cap_aware_balanced|rusher,Holz,enemy|player,4,55,9,2.25,1,1,2
"(3, -3)",4,60,66,7,enemy|player,cap_aware_balanced|rusher,Korn,enemy|player,4,69,6,1.5,3,0,1
"(1, -1)",3,14,68,55,enemy|player,cap_aware_balanced|rusher,Korn,enemy|player,3,71,7,2.33,1,0,2
"(-4, 1)",3,30,75,46,enemy|player,cap_aware_balanced|rusher,Korn,enemy|player,3,78,6,2.0,0,3,0
"(-3, 2)",3,13,26,14,enemy|player,cap_aware_balanced|rusher,Stein,enemy|player,3,29,6,2.0,1,1,1
"(-4, 4)",3,23,29,7,enemy|player,cap_aware_balanced|rusher,Holz,enemy|player,3,32,8,2.67,0,1,2
"(1, -3)",3,20,23,4,enemy|player,cap_aware_balanced|rusher,Korn,enemy|player,3,26,5,1.67,2,0,1
"(-3, 4)",3,32,35,4,enemy|player,cap_aware_balanced|rusher,Holz,enemy|player,3,38,7,2.33,0,2,1
"(-3, 1)",2,14,78,65,enemy|player,cap_aware_balanced|rusher,Stein,enemy|player,2,80,6,3.0,0,0,2
"(-1, -1)",2,8,18,11,enemy|player,cap_aware_balanced|rusher,Holz,enemy|player,2,20,4,2.0,1,0,1
"(4, -4)",2,60,65,6,enemy|player,cap_aware_balanced|rusher,Holz|Korn,enemy|player,2,67,6,3.0,0,0,2
"(-1, 3)",2,14,17,4,enemy|player,cap_aware_balanced|rusher,Korn,enemy|player,2,19,4,2.0,0,2,0
"(-4, 3)",2,26,27,2,enemy|player,cap_aware_balanced|rusher,Korn,enemy|player,2,29,5,2.5,0,1,1
"(2, 2)",2,37,38,2,enemy|player,cap_aware_balanced|rusher,Holz,enemy|player,2,40,5,2.5,0,1,1
"(2, -4)",2,54,55,2,enemy|player,cap_aware_balanced|rusher,Holz,enemy|player,2,57,5,2.5,0,1,1
"(4, -3)",2,62,63,2,enemy|player,cap_aware_balanced|rusher,Holz,enemy|player,2,65,4,2.0,1,0,1
"(1, 0)",1,15,15,1,player,cap_aware_balanced,Holz,enemy,1,16,2,2.0,0,1,0
"(2, -1)",1,16,16,1,player,cap_aware_balanced,Holz,enemy,1,17,1,1.0,1,0,0
"(2, 0)",1,17,17,1,player,cap_aware_balanced,Holz,enemy,1,18,2,2.0,0,1,0
"(-2, -1)",1,17,17,1,enemy,rusher,Holz,player,1,18,3,3.0,0,0,1
"(-1, -2)",1,18,18,1,enemy,rusher,Holz,player,1,19,3,3.0,0,0,1
"(0, -3)",1,19,19,1,enemy,rusher,Holz,player,1,20,3,3.0,0,0,1
