side_length,board_size,matchup,player_policy,enemy_policy,winner,win_reason,natural_winner,natural_win_reason,timeout_margin,timeout_controlled_diff,final_round,threshold_60,player_first_rounds,enemy_first_rounds,p_controlled,e_controlled,p_non_core,e_non_core,neutral_fields,build,raid,raid_takeovers,raid_absorbed_by_shield,fortify,rebuild,field_upgrade,core_upgrade,wait,p_build,p_raid,p_fortify,p_rebuild,p_wait,e_build,e_raid,e_fortify,e_rebuild,e_wait,p_holz_waste,p_stein_waste,p_korn_waste,e_holz_waste,e_stein_waste,e_korn_waste,p_holz,p_stein,p_korn,e_holz,e_stein,e_korn,final_shielded_fields,final_shield_points,final_max_shield
4,37,phase_player_vs_phase_player,phase_player,phase_player,enemy,full_board_majority,enemy,full_board_majority,5,0,26,23,13,13,15,22,14,21,0,33,51,38,13,28,12,15,2,11,15,22,14,7,5,18,29,14,5,6,4,20,72,6,0,108,11,9,12,0,6,10,15,15,1
4,37,phase_player_vs_rusher,phase_player,rusher,enemy,territory,enemy,territory,5,0,40,23,20,20,10,23,9,22,4,29,119,100,19,24,13,15,2,35,12,48,24,13,6,17,71,0,0,29,0,130,67,0,0,266,3,12,12,7,2,7,5,5,1
4,37,phase_player_vs_utility_balancer,phase_player,utility_balancer,player,full_board_majority,player,full_board_majority,5,0,23,23,12,11,19,18,18,17,0,33,47,33,14,29,0,9,2,16,12,29,14,0,6,21,18,15,0,10,7,47,30,11,27,10,4,12,8,4,12,12,13,14,2
4,37,phase_player_vs_utility_rusher,phase_player,utility_rusher,enemy,territory,enemy,territory,5,0,28,23,14,14,12,23,11,22,2,31,64,45,19,33,2,13,2,20,17,23,20,1,8,14,41,13,1,12,1,20,100,61,29,17,3,5,12,12,12,4,10,14,3
4,37,phase_player_vs_utility_economist,phase_player,utility_economist,player,full_board_majority,player,full_board_majority,5,0,33,23,17,16,20,17,19,16,0,33,87,68,19,34,7,17,2,14,18,43,16,5,6,15,44,18,2,8,42,60,77,96,15,18,0,9,10,12,7,12,10,14,3
4,37,phase_player_vs_utility_fortifier,phase_player,utility_fortifier,player,full_board_majority,player,full_board_majority,5,0,23,23,12,11,19,18,18,17,0,33,46,34,12,31,0,8,2,16,11,29,16,0,6,22,17,15,0,10,2,63,26,25,18,4,9,12,6,4,12,12,17,18,2
4,37,phase_player_vs_utility_aggro_turtle,phase_player,utility_aggro_turtle,player,full_board_majority,player,full_board_majority,5,0,23,23,12,11,20,17,19,16,0,33,46,33,13,32,0,8,2,16,11,29,16,0,6,22,17,16,0,10,2,65,26,26,18,4,8,12,6,4,12,10,17,18,2
4,37,phase_player_vs_utility_opportunist,phase_player,utility_opportunist,enemy,full_board_majority,enemy,full_board_majority,5,0,36,23,18,18,18,19,17,18,0,33,79,57,22,46,9,23,2,23,19,37,20,4,13,14,42,26,5,10,2,40,193,163,23,18,1,10,10,10,7,7,15,23,3
4,37,rusher_vs_phase_player,rusher,phase_player,player,territory,player,territory,5,0,35,23,18,17,23,13,22,12,1,32,86,70,16,22,14,8,2,42,17,53,0,0,33,15,33,22,14,9,31,0,189,7,0,147,6,1,8,4,10,12,6,6,1
4,37,rusher_vs_rusher,rusher,rusher,player,domination,player,domination,5,0,33,23,17,16,19,1,18,0,17,16,54,54,0,0,0,0,0,123,9,31,0,0,57,7,23,0,0,66,7,0,267,0,0,14,6,0,4,2,0,4,0,0,0
4,37,rusher_vs_utility_balancer,rusher,utility_balancer,player,full_board_majority,player,full_board_majority,5,0,38,23,19,19,19,18,18,17,0,33,108,81,27,40,3,9,2,31,12,70,0,1,25,21,38,40,2,6,2,1,228,70,10,34,2,3,12,12,10,5,6,10,3
4,37,rusher_vs_utility_rusher,rusher,utility_rusher,enemy,territory,enemy,territory,5,0,20,23,10,10,7,23,6,22,7,26,45,42,3,7,0,3,1,35,7,23,0,0,27,19,22,7,0,8,0,0,45,10,16,16,1,5,6,12,12,7,3,4,2
4,37,rusher_vs_utility_economist,rusher,utility_economist,player,full_board_majority,player,full_board_majority,5,0,20,23,10,10,20,17,19,16,0,33,42,36,6,6,0,8,2,24,10,28,0,0,16,23,14,6,0,8,0,41,63,13,2,5,4,12,12,4,12,12,0,0,0
4,37,rusher_vs_utility_fortifier,rusher,utility_fortifier,player,territory,player,territory,5,0,25,23,13,12,23,9,22,8,5,28,61,42,19,25,1,6,2,24,11,45,0,0,18,17,16,25,1,6,1,0,92,15,1,0,2,1,10,12,2,8,3,4,2
4,37,rusher_vs_utility_aggro_turtle,rusher,utility_aggro_turtle,player,full_board_majority,player,full_board_majority,5,0,25,23,13,12,22,15,21,14,0,33,64,45,19,20,1,4,2,24,11,46,0,0,17,22,18,20,1,7,13,1,93,4,5,15,2,3,9,7,12,12,1,1,1
4,37,rusher_vs_utility_opportunist,rusher,utility_opportunist,enemy,full_board_majority,enemy,full_board_majority,5,0,40,23,20,20,16,21,15,20,0,33,96,82,14,40,3,9,1,56,16,54,0,0,48,17,42,40,3,8,34,0,252,185,12,53,1,0,6,10,6,4,11,26,3
4,37,utility_balancer_vs_phase_player,utility_balancer,phase_player,player,full_board_majority,player,full_board_majority,5,0,27,23,14,13,19,18,18,17,0,33,60,36,24,42,1,9,2,13,19,24,25,1,7,14,36,17,0,6,28,20,9,17,82,83,10,12,3,4,12,12,13,16,3
