side_length,board_size,matchup,player_policy,enemy_policy,winner,win_reason,final_round,threshold_60,player_first_rounds,enemy_first_rounds,p_controlled,e_controlled,p_non_core,e_non_core,neutral_fields,build,raid,raid_takeovers,raid_absorbed_by_shield,fortify,rebuild,field_upgrade,core_upgrade,wait,p_build,p_raid,p_fortify,p_rebuild,p_wait,e_build,e_raid,e_fortify,e_rebuild,e_wait,p_holz_waste,p_stein_waste,p_korn_waste,e_holz_waste,e_stein_waste,e_korn_waste,p_holz,p_stein,p_korn,e_holz,e_stein,e_korn,final_shielded_fields,final_shield_points,final_max_shield
4,37,phase_player_vs_phase_player,phase_player,phase_player,enemy,full_board_majority,26,23,13,13,15,22,14,21,0,33,51,38,13,28,12,15,2,11,15,22,14,7,5,18,29,14,5,6,4,20,72,6,0,108,11,9,12,0,6,10,15,15,1
4,37,phase_player_vs_rusher,phase_player,rusher,enemy,territory,38,23,19,19,11,23,10,22,3,30,94,78,16,22,18,16,2,42,13,37,22,18,9,17,57,0,0,33,0,56,144,1,2,235,1,12,12,5,12,8,6,6,1
4,37,phase_player_vs_utility_balancer,phase_player,utility_balancer,player,territory,21,23,11,10,23,8,22,7,6,27,28,16,12,34,5,13,2,13,19,19,11,0,6,8,9,23,5,7,7,14,80,0,0,0,0,3,11,2,8,11,14,19,3
4,37,rusher_vs_phase_player,rusher,phase_player,player,full_board_majority,33,23,17,16,21,16,20,15,0,33,74,62,12,19,9,10,2,49,15,45,0,0,38,18,29,19,9,11,1,0,171,0,3,123,2,5,10,2,7,12,7,7,1
4,37,rusher_vs_rusher,rusher,rusher,enemy,territory,74,23,37,37,8,23,7,22,6,27,203,203,0,0,13,8,2,188,11,99,0,13,89,16,104,0,0,99,0,52,133,0,0,593,4,12,11,1,2,7,0,0,0
4,37,rusher_vs_utility_balancer,rusher,utility_balancer,player,territory,32,23,16,16,23,3,22,2,11,22,49,25,24,29,12,6,2,70,12,41,0,0,39,10,8,29,12,31,8,0,219,0,2,8,0,2,12,6,12,0,2,2,1
4,37,utility_balancer_vs_phase_player,utility_balancer,phase_player,enemy,full_board_majority,28,23,14,14,15,22,14,21,0,33,50,23,27,49,7,15,2,10,16,12,39,6,5,17,38,10,1,5,0,0,10,3,64,112,2,9,12,5,9,5,14,20,3
4,37,utility_balancer_vs_rusher,utility_balancer,rusher,enemy,territory,28,23,14,14,2,23,1,22,12,21,34,18,16,18,2,8,2,80,8,5,18,2,42,13,29,0,0,38,0,0,0,0,0,247,1,3,7,6,9,7,0,0,0
4,37,utility_balancer_vs_utility_balancer,utility_balancer,utility_balancer,player,full_board_majority,19,23,10,9,19,18,18,17,0,33,4,4,0,40,11,8,2,11,17,2,19,6,6,16,2,21,5,5,4,0,30,13,11,17,4,5,12,12,12,12,18,40,3
5,61,phase_player_vs_phase_player,phase_player,phase_player,player,full_board_majority,58,37,29,29,31,30,30,29,0,57,147,113,34,54,14,49,2,21,28,77,23,6,12,29,70,31,8,9,93,113,804,42,73,631,12,12,12,0,12,11,20,20,1
5,61,phase_player_vs_rusher,phase_player,rusher,enemy,territory,102,37,51,51,23,37,22,36,1,56,291,260,31,39,55,55,2,111,33,124,39,55,27,23,167,0,0,84,5,93,1584,16,379,2377,12,4,12,2,12,6,8,8,1
5,61,phase_player_vs_utility_balancer,phase_player,utility_balancer,player,territory,57,37,29,28,37,14,36,13,10,47,114,53,61,89,33,33,2,19,24,87,17,6,13,23,27,72,27,6,53,160,894,18,68,120,5,12,10,5,12,12,17,25,3
5,61,rusher_vs_phase_player,rusher,phase_player,enemy,full_board_majority,96,37,48,48,28,33,27,32,0,57,261,233,28,36,53,55,2,110,25,145,0,2,89,32,116,36,51,21,28,74,1589,110,99,2090,0,10,12,12,12,7,8,8,1
5,61,rusher_vs_rusher,rusher,rusher,enemy,territory,74,37,37,37,2,37,1,36,22,35,192,192,0,0,5,8,2,197,16,88,0,2,109,19,104,0,3,88,0,0,191,10,2,788,1,6,8,3,9,10,0,0,0
5,61,rusher_vs_utility_balancer,rusher,utility_balancer,player,territory,95,37,48,47,37,14,36,13,10,47,265,119,146,173,16,9,2,55,18,214,0,0,50,29,51,173,16,5,161,44,880,98,38,258,12,12,7,7,5,12,7,10,3
5,61,utility_balancer_vs_phase_player,utility_balancer,phase_player,enemy,territory,40,37,20,20,6,37,5,36,18,39,71,27,44,70,9,17,2,29,21,17,40,9,22,18,54,30,0,7,0,0,0,88,106,374,4,5,7,0,12,9,21,22,2
5,61,utility_balancer_vs_rusher,utility_balancer,rusher,enemy,territory,70,37,35,35,4,37,3,36,20,37,181,96,85,110,8,6,2,72,26,36,110,8,20,11,145,0,0,52,32,2,41,198,0,830,0,10,3,8,4,9,0,0,0
5,61,utility_balancer_vs_utility_balancer,utility_balancer,utility_balancer,enemy,territory,43,37,22,21,22,37,21,36,2,55,9,9,0,87,77,16,2,10,21,4,33,58,5,34,5,54,19,5,262,35,155,130,31,263,6,12,12,0,8,12,47,87,3
