side_length,board_size,matchup,player_policy,enemy_policy,winner,win_reason,final_round,threshold_60,player_first_rounds,enemy_first_rounds,p_controlled,e_controlled,p_non_core,e_non_core,neutral_fields,build,raid,raid_takeovers,raid_absorbed_by_shield,fortify,rebuild,field_upgrade,core_upgrade,wait,p_build,p_raid,p_fortify,p_rebuild,p_wait,e_build,e_raid,e_fortify,e_rebuild,e_wait,p_holz_waste,p_stein_waste,p_korn_waste,e_holz_waste,e_stein_waste,e_korn_waste,p_holz,p_stein,p_korn,e_holz,e_stein,e_korn,final_shielded_fields,final_shield_points,final_max_shield
4,37,phase_player_vs_phase_player,phase_player,phase_player,enemy,full_board_majority,26,23,13,13,15,22,14,21,0,33,51,38,13,28,12,15,2,11,15,22,14,7,5,18,29,14,5,6,4,20,72,6,0,108,11,9,12,0,6,10,15,15,1
4,37,phase_player_vs_rusher,phase_player,rusher,enemy,territory,38,23,19,19,11,23,10,22,3,30,94,78,16,22,18,16,2,42,13,37,22,18,9,17,57,0,0,33,0,56,144,1,2,235,1,12,12,5,12,8,6,6,1
4,37,phase_player_vs_utility_balancer,phase_player,utility_balancer,enemy,territory,22,23,11,11,12,23,11,22,2,31,47,39,8,18,0,14,2,16,11,24,10,0,6,20,23,8,0,10,0,23,32,12,25,23,2,8,12,0,12,11,10,10,1
4,37,phase_player_vs_utility_rusher,phase_player,utility_rusher,enemy,full_board_majority,24,23,12,12,16,21,15,20,0,33,53,41,12,21,3,10,2,17,15,21,18,2,7,18,32,3,1,10,3,0,65,4,60,21,12,2,12,4,12,12,9,9,1
4,37,phase_player_vs_utility_economist,phase_player,utility_economist,enemy,full_board_majority,23,23,12,11,18,19,17,18,0,33,49,39,10,21,4,14,2,13,15,22,16,3,7,18,27,5,1,6,0,0,62,12,68,18,7,5,8,4,12,12,10,11,2
4,37,phase_player_vs_utility_fortifier,phase_player,utility_fortifier,enemy,territory,22,23,11,11,12,23,11,22,2,31,50,40,10,17,0,13,2,16,10,25,10,0,6,21,25,7,0,10,0,26,25,3,22,21,4,8,12,4,12,9,7,7,1
4,37,phase_player_vs_utility_aggro_turtle,phase_player,utility_aggro_turtle,enemy,territory,22,23,11,11,12,23,11,22,2,31,50,40,10,17,0,13,2,16,10,25,10,0,6,21,25,7,0,10,0,26,25,3,22,21,4,8,12,4,12,9,7,7,1
4,37,phase_player_vs_utility_opportunist,phase_player,utility_opportunist,enemy,full_board_majority,24,23,12,12,18,19,17,18,0,33,52,40,12,23,3,11,2,15,14,23,17,2,7,19,29,6,1,8,0,5,60,11,35,19,9,12,12,4,12,12,9,11,3
4,37,rusher_vs_phase_player,rusher,phase_player,player,full_board_majority,33,23,17,16,21,16,20,15,0,33,74,62,12,19,9,10,2,49,15,45,0,0,38,18,29,19,9,11,1,0,171,0,3,123,2,5,10,2,7,12,7,7,1
4,37,rusher_vs_rusher,rusher,rusher,enemy,territory,74,23,37,37,8,23,7,22,6,27,203,203,0,0,13,8,2,188,11,99,0,13,89,16,104,0,0,99,0,52,133,0,0,593,4,12,11,1,2,7,0,0,0
