side_length,board_size,matchup,player_policy,enemy_policy,winner,win_reason,natural_winner,natural_win_reason,timeout_margin,timeout_controlled_diff,final_round,threshold_60,player_first_rounds,enemy_first_rounds,p_controlled,e_controlled,p_non_core,e_non_core,neutral_fields,build,raid,raid_takeovers,raid_absorbed_by_shield,fortify,rebuild,field_upgrade,core_upgrade,wait,tunnel_entrance,tunnel_extend,tunnel_raid,repair_build,tunnel_raid_takeovers,shield_bypassed,collapsed_fields_total,p_build,p_raid,p_fortify,p_rebuild,p_wait,p_tunnel_entrance,p_tunnel_extend,p_tunnel_raid,p_repair_build,e_build,e_raid,e_fortify,e_rebuild,e_wait,e_tunnel_entrance,e_tunnel_extend,e_tunnel_raid,e_repair_build,p_holz_waste,p_stein_waste,p_korn_waste,e_holz_waste,e_stein_waste,e_korn_waste,p_holz,p_stein,p_korn,e_holz,e_stein,e_korn,final_shielded_fields,final_shield_points,final_max_shield,collapsed_fields_final,tunnel_edges_final,tunnel_nodes_final,network_components_final,largest_tunnel_component,fields_with_tunnel_entrance,max_tunnel_pressure_final,avg_tunnel_pressure_final_x100
4,37,opening_resource_spammer_vs_opening_resource_spammer,opening_resource_spammer,opening_resource_spammer,,timeout_draw,,none,5,-2,81,23,40,40,17,19,16,18,1,32,217,217,0,0,0,0,0,231,0,0,0,0,0,0,0,16,108,0,0,116,0,0,0,0,16,109,0,0,115,0,0,0,0,395,0,414,644,0,176,6,0,3,6,0,2,0,0,0,0,0,0,0,0,0,0,0
4,37,opening_resource_spammer_vs_tunnel_all_in_probe,opening_resource_spammer,tunnel_all_in_probe,player,domination,player,domination,5,0,11,23,6,5,13,1,12,0,23,10,6,6,0,0,0,0,0,39,2,1,3,0,3,3,0,8,6,0,0,17,0,0,0,0,2,0,0,0,22,2,1,3,0,0,0,37,0,0,1,6,4,5,0,2,4,0,0,0,0,1,2,1,2,2,2,11
4,37,opening_resource_spammer_vs_utility_balancer,opening_resource_spammer,utility_balancer,player,domination,player,domination,5,0,17,23,9,8,21,1,20,0,15,18,29,25,4,4,2,5,1,38,0,0,0,0,0,0,0,10,21,0,0,18,0,0,0,0,8,8,4,2,20,0,0,0,0,72,2,32,0,0,0,6,6,5,6,1,5,0,0,0,0,0,0,0,0,0,0,0
4,37,opening_resource_spammer_vs_utility_tunneler,opening_resource_spammer,utility_tunneler,player,domination,player,domination,5,0,25,23,13,12,21,1,20,0,15,18,35,34,1,1,0,1,1,78,5,6,0,0,0,0,0,11,22,0,0,40,0,0,0,0,7,13,1,0,38,5,6,0,0,83,22,126,0,3,2,6,6,4,2,1,4,0,0,0,0,6,7,1,7,5,3,46
4,37,opening_resource_spammer_vs_rusher,opening_resource_spammer,rusher,enemy,territory,enemy,territory,5,0,26,23,13,13,10,23,9,22,4,29,69,69,0,0,0,0,0,55,0,0,0,0,0,0,0,21,28,0,0,26,0,0,0,0,8,41,0,0,29,0,0,0,0,15,0,14,79,0,111,6,0,5,6,0,1,0,0,0,0,0,0,0,0,0,0,0
4,37,opening_resource_spammer_vs_phase_player,opening_resource_spammer,phase_player,,timeout_draw,,none,5,1,81,23,40,40,17,16,16,15,4,29,184,170,14,20,38,15,1,193,0,0,0,0,0,0,0,11,101,0,0,128,0,0,0,0,18,83,20,38,65,0,0,0,0,507,71,378,0,337,738,6,6,6,1,12,7,6,6,1,0,0,0,0,0,0,0,0
4,37,tunnel_all_in_probe_vs_opening_resource_spammer,tunnel_all_in_probe,opening_resource_spammer,enemy,domination,enemy,domination,5,0,4,23,2,2,1,8,0,7,28,5,3,3,0,0,0,0,0,10,1,0,0,0,0,0,0,2,0,0,0,6,1,0,0,0,3,3,0,0,4,0,0,0,0,0,0,1,0,0,1,1,1,6,3,2,0,0,0,0,0,0,0,0,0,1,1,3
4,37,tunnel_all_in_probe_vs_tunnel_all_in_probe,tunnel_all_in_probe,tunnel_all_in_probe,player,domination,player,domination,5,0,23,23,12,11,7,1,6,0,28,5,0,0,0,0,0,0,0,78,9,21,16,4,16,16,5,3,0,0,0,37,5,11,10,1,2,0,0,0,41,4,10,6,3,0,6,2,0,4,5,1,6,0,1,1,3,0,0,0,1,6,6,1,6,4,4,43
4,37,tunnel_all_in_probe_vs_utility_balancer,tunnel_all_in_probe,utility_balancer,enemy,domination,enemy,domination,5,0,12,23,6,6,1,9,0,8,26,7,8,8,0,4,0,7,1,24,2,10,5,0,5,5,1,2,0,0,0,14,2,10,5,0,5,8,4,0,10,0,0,0,0,0,6,1,0,0,0,0,6,2,2,7,1,1,1,1,1,6,6,1,6,2,3,38
4,37,tunnel_all_in_probe_vs_utility_tunneler,tunnel_all_in_probe,utility_tunneler,enemy,domination,enemy,domination,5,0,10,23,5,5,1,13,0,12,23,10,6,6,0,2,0,2,1,20,3,8,3,1,3,3,1,2,0,0,0,12,2,8,3,0,8,6,2,0,8,1,0,0,1,0,0,1,0,0,2,1,4,3,2,5,2,1,1,1,0,5,5,1,5,2,3,32
