side_length,board_size,matchup,player_policy,enemy_policy,winner,win_reason,final_round,threshold_60,player_first_rounds,enemy_first_rounds,p_controlled,e_controlled,p_non_core,e_non_core,neutral_fields,build,raid,raid_takeovers,raid_absorbed_by_shield,fortify,rebuild,field_upgrade,core_upgrade,wait,p_build,p_raid,p_fortify,p_wait,e_build,e_raid,e_fortify,e_wait,p_korn_waste,e_korn_waste,final_shielded_fields,final_shield_points
4,37,phase_player_vs_phase_player,phase_player,phase_player,enemy,full_board_majority,26,23,13,13,15,22,14,21,0,33,51,38,13,28,12,15,2,11,15,22,14,5,18,29,14,6,72,108,15,15
4,37,phase_player_vs_rusher,phase_player,rusher,player,full_board_majority,33,23,17,16,21,16,20,15,0,33,72,58,14,23,12,29,2,25,19,29,23,8,14,43,0,17,195,112,9,9
4,37,phase_player_vs_utility_balancer,phase_player,utility_balancer,player,territory,28,23,14,14,23,5,22,4,9,24,38,12,26,40,9,16,2,37,19,22,17,7,5,16,23,30,175,0,10,14
4,37,rusher_vs_phase_player,rusher,phase_player,player,territory,33,23,17,16,23,11,22,10,3,30,71,55,16,22,26,9,2,34,14,47,0,18,16,24,22,16,142,76,6,6
4,37,rusher_vs_rusher,rusher,rusher,player,domination,16,23,8,8,11,1,10,0,25,8,22,22,0,0,7,3,1,53,5,13,0,22,3,9,0,31,37,9,0,0
4,37,rusher_vs_utility_balancer,rusher,utility_balancer,player,territory,57,23,29,28,23,4,22,3,10,23,101,43,58,60,57,23,2,73,8,86,0,44,15,15,60,29,670,29,2,2
4,37,utility_balancer_vs_phase_player,utility_balancer,phase_player,enemy,territory,30,23,15,15,6,23,5,22,8,25,45,15,30,48,21,21,2,14,5,17,31,8,20,28,17,6,0,193,12,18
4,37,utility_balancer_vs_rusher,utility_balancer,rusher,enemy,territory,54,23,27,27,8,23,7,22,6,27,99,46,53,66,71,27,2,28,14,19,66,5,13,80,0,23,78,545,7,13
4,37,utility_balancer_vs_utility_balancer,utility_balancer,utility_balancer,enemy,full_board_majority,40,23,20,20,18,19,17,18,0,33,42,28,14,66,53,30,2,12,18,17,36,6,15,25,30,6,217,91,21,52
5,61,phase_player_vs_phase_player,phase_player,phase_player,player,full_board_majority,58,37,29,29,31,30,30,29,0,57,147,113,34,54,14,49,2,21,28,77,23,12,29,70,31,9,804,631,20,20
5,61,phase_player_vs_rusher,phase_player,rusher,enemy,territory,74,37,37,37,15,37,14,36,9,48,206,165,41,48,40,46,2,50,28,75,48,27,20,131,0,23,762,1242,7,7
5,61,phase_player_vs_utility_balancer,phase_player,utility_balancer,player,territory,63,37,32,31,37,14,36,13,10,47,136,42,94,130,19,28,2,13,29,95,35,8,18,41,95,5,933,119,23,36
5,61,rusher_vs_phase_player,rusher,phase_player,player,territory,105,37,53,52,37,22,36,21,2,55,343,272,71,84,24,41,2,78,19,215,0,63,36,128,84,15,1314,1929,13,13
5,61,rusher_vs_rusher,rusher,rusher,enemy,territory,74,37,37,37,8,37,7,36,16,41,172,172,0,0,31,33,2,162,10,84,0,108,31,88,0,54,164,892,0,0
5,61,rusher_vs_utility_balancer,rusher,utility_balancer,,none,121,37,60,60,11,12,10,11,38,19,211,72,139,165,9,14,2,300,5,177,0,170,14,34,165,130,884,952,10,26
5,61,utility_balancer_vs_phase_player,utility_balancer,phase_player,enemy,territory,98,37,49,49,19,37,18,36,5,52,242,116,126,171,52,45,2,20,25,89,123,6,27,153,48,14,449,2176,27,45
5,61,utility_balancer_vs_rusher,utility_balancer,rusher,,none,121,37,60,60,21,31,20,30,9,48,337,142,195,217,47,34,2,35,19,71,217,6,29,266,0,29,767,2180,11,22
5,61,utility_balancer_vs_utility_balancer,utility_balancer,utility_balancer,,none,121,37,60,60,23,21,22,20,17,40,171,28,143,216,248,31,2,12,21,97,105,6,19,74,111,6,633,1222,28,73
