side_length,board_size,matchup,round,action_index,actor,actor_policy,first_actor,p_controlled,e_controlled,neutral_fields,actor_controlled_before,opponent_controlled_before,actor_non_core_before,opponent_non_core_before,territory_threshold,actor_to_threshold_before,opponent_to_threshold_before,actor_behind_before,p_resources_before,e_resources_before,rank,candidate_action_type,candidate_target,candidate_field_type,candidate_category,raw_score,weight,total_score,reasons,chosen,chosen_ok,chosen_message,winner_after
4,37,utility_balancer_vs_phase_player,1,1,player,utility_balancer,player,3,2,33,2,2,1,1,23,21,21,False,"{""Holz"": 1, ""Korn"": 4, ""Stein"": 0}","{""Holz"": 3, ""Korn"": 4, ""Stein"": 0}",1,build,"(-3, 1)",Stein,expansion,32.0986,1.2500,40.1233,type=Stein | need=1.00 | own_neighbors=2 | enemy_neighbors=0 | cost_holz=2,True,True,"player builds Stein at (-3, 1) for 2 Holz.",
4,37,utility_balancer_vs_phase_player,1,1,player,utility_balancer,player,3,2,33,2,2,1,1,23,21,21,False,"{""Holz"": 1, ""Korn"": 4, ""Stein"": 0}","{""Holz"": 3, ""Korn"": 4, ""Stein"": 0}",2,build,"(-2, -1)",Stein,expansion,32.0986,1.2500,40.1233,type=Stein | need=1.00 | own_neighbors=2 | enemy_neighbors=0 | cost_holz=2,False,,,
4,37,utility_balancer_vs_phase_player,1,1,player,utility_balancer,player,3,2,33,2,2,1,1,23,21,21,False,"{""Holz"": 1, ""Korn"": 4, ""Stein"": 0}","{""Holz"": 3, ""Korn"": 4, ""Stein"": 0}",3,build,"(-1, 0)",Stein,expansion,30.2653,1.2500,37.8316,type=Stein | need=1.00 | own_neighbors=1 | enemy_neighbors=0 | cost_holz=2,False,,,
4,37,utility_balancer_vs_phase_player,1,1,player,utility_balancer,player,3,2,33,2,2,1,1,23,21,21,False,"{""Holz"": 1, ""Korn"": 4, ""Stein"": 0}","{""Holz"": 3, ""Korn"": 4, ""Stein"": 0}",4,build,"(-2, 1)",Stein,expansion,28.9320,1.2500,36.1650,type=Stein | need=1.00 | own_neighbors=1 | enemy_neighbors=0 | cost_holz=2,False,,,
4,37,utility_balancer_vs_phase_player,1,1,player,utility_balancer,player,3,2,33,2,2,1,1,23,21,21,False,"{""Holz"": 1, ""Korn"": 4, ""Stein"": 0}","{""Holz"": 3, ""Korn"": 4, ""Stein"": 0}",5,build,"(-1, -1)",Stein,expansion,28.9320,1.2500,36.1650,type=Stein | need=1.00 | own_neighbors=1 | enemy_neighbors=0 | cost_holz=2,False,,,
4,37,utility_balancer_vs_phase_player,1,2,player,utility_balancer,player,3,2,32,3,2,2,1,23,20,21,False,"{""Holz"": 1, ""Korn"": 2, ""Stein"": 0}","{""Holz"": 3, ""Korn"": 4, ""Stein"": 0}",1,fortify,"(-2, 0)",,defense,1.5880,1.0000,1.5880,type=Holz | shield=0 | enemy_neighbors=0 | contested=0 | cost_korn=2,True,True,"player fortifies (-2, 0) for 2 Korn. raid_shield=1/3.",
4,37,utility_balancer_vs_phase_player,1,2,player,utility_balancer,player,3,2,32,3,2,2,1,23,20,21,False,"{""Holz"": 1, ""Korn"": 2, ""Stein"": 0}","{""Holz"": 3, ""Korn"": 4, ""Stein"": 0}",2,wait,,,fallback,0.0500,1.0000,0.0500,fallback,False,,,
4,37,utility_balancer_vs_phase_player,1,3,player,utility_balancer,player,3,2,32,3,2,2,1,23,20,21,False,"{""Holz"": 1, ""Korn"": 2, ""Stein"": 0}","{""Holz"": 3, ""Korn"": 4, ""Stein"": 0}",1,wait,,,fallback,0.0500,1.0000,0.0500,fallback,True,True,player waits.,
4,37,utility_balancer_vs_phase_player,2,1,player,utility_balancer,enemy,4,4,30,3,4,2,3,23,20,19,True,"{""Holz"": 0, ""Korn"": 3, ""Stein"": 1}","{""Holz"": 1, ""Korn"": 5, ""Stein"": 0}",1,build,"(-1, 0)",Stein,expansion,32.2518,1.2500,40.3148,type=Stein | need=0.83 | own_neighbors=1 | enemy_neighbors=1 | cost_holz=2,True,True,"player builds Stein at (-1, 0) for 2 Holz.",
4,37,utility_balancer_vs_phase_player,2,1,player,utility_balancer,enemy,4,4,30,3,4,2,3,23,20,19,True,"{""Holz"": 0, ""Korn"": 3, ""Stein"": 1}","{""Holz"": 1, ""Korn"": 5, ""Stein"": 0}",2,build,"(-2, 1)",Stein,expansion,31.9185,1.2500,39.8981,type=Stein | need=0.83 | own_neighbors=2 | enemy_neighbors=0 | cost_holz=2,False,,,
4,37,utility_balancer_vs_phase_player,2,1,player,utility_balancer,enemy,4,4,30,3,4,2,3,23,20,19,True,"{""Holz"": 0, ""Korn"": 3, ""Stein"": 1}","{""Holz"": 1, ""Korn"": 5, ""Stein"": 0}",3,build,"(-2, -1)",Stein,expansion,30.5851,1.2500,38.2314,type=Stein | need=0.83 | own_neighbors=2 | enemy_neighbors=0 | cost_holz=2,False,,,
4,37,utility_balancer_vs_phase_player,2,1,player,utility_balancer,enemy,4,4,30,3,4,2,3,23,20,19,True,"{""Holz"": 0, ""Korn"": 3, ""Stein"": 1}","{""Holz"": 1, ""Korn"": 5, ""Stein"": 0}",4,build,"(-1, 0)",Holz,expansion,30.2518,1.2500,37.8148,type=Holz | need=0.67 | own_neighbors=1 | enemy_neighbors=1 | cost_holz=2,False,,,
4,37,utility_balancer_vs_phase_player,2,1,player,utility_balancer,enemy,4,4,30,3,4,2,3,23,20,19,True,"{""Holz"": 0, ""Korn"": 3, ""Stein"": 1}","{""Holz"": 1, ""Korn"": 5, ""Stein"": 0}",5,build,"(-2, 1)",Holz,expansion,29.9185,1.2500,37.3981,type=Holz | need=0.67 | own_neighbors=2 | enemy_neighbors=0 | cost_holz=2,False,,,
4,37,utility_balancer_vs_phase_player,2,2,player,utility_balancer,enemy,4,4,29,4,4,3,3,23,19,19,False,"{""Holz"": 0, ""Korn"": 1, ""Stein"": 1}","{""Holz"": 1, ""Korn"": 5, ""Stein"": 0}",1,fortify,"(-3, 1)",,defense,1.5880,1.0000,1.5880,type=Stein | shield=0 | enemy_neighbors=0 | contested=0 | cost_korn=2,True,True,"player fortifies (-3, 1) for 2 Korn. raid_shield=1/3.",
