side_length,board_size,matchup,player_policy,enemy_policy,winner,win_reason,final_round,threshold_60,player_first_rounds,enemy_first_rounds,p_controlled,e_controlled,p_non_core,e_non_core,neutral_fields,build,raid,raid_takeovers,raid_absorbed_by_shield,fortify,rebuild,field_upgrade,core_upgrade,wait,p_build,p_raid,p_fortify,p_rebuild,p_wait,e_build,e_raid,e_fortify,e_rebuild,e_wait,p_holz_waste,p_stein_waste,p_korn_waste,e_holz_waste,e_stein_waste,e_korn_waste,p_holz,p_stein,p_korn,e_holz,e_stein,e_korn,final_shielded_fields,final_shield_points,final_max_shield
4,37,phase_player_vs_phase_player,phase_player,phase_player,enemy,full_board_majority,26,23,13,13,15,22,14,21,0,33,51,38,13,28,12,15,2,11,15,22,14,7,5,18,29,14,5,6,4,20,72,6,0,108,11,9,12,0,6,10,15,15,1
4,37,phase_player_vs_rusher,phase_player,rusher,enemy,territory,38,23,19,19,11,23,10,22,3,30,94,78,16,22,18,16,2,42,13,37,22,18,9,17,57,0,0,33,0,56,144,1,2,235,1,12,12,5,12,8,6,6,1
4,37,phase_player_vs_utility_balancer,phase_player,utility_balancer,player,full_board_majority,23,23,12,11,19,18,18,17,0,33,47,33,14,29,0,9,2,16,12,29,14,0,6,21,18,15,0,10,7,47,30,11,27,10,4,12,8,4,12,12,13,14,2
4,37,rusher_vs_phase_player,rusher,phase_player,player,full_board_majority,33,23,17,16,21,16,20,15,0,33,74,62,12,19,9,10,2,49,15,45,0,0,38,18,29,19,9,11,1,0,171,0,3,123,2,5,10,2,7,12,7,7,1
4,37,rusher_vs_rusher,rusher,rusher,enemy,territory,74,23,37,37,8,23,7,22,6,27,203,203,0,0,13,8,2,188,11,99,0,13,89,16,104,0,0,99,0,52,133,0,0,593,4,12,11,1,2,7,0,0,0
4,37,rusher_vs_utility_balancer,rusher,utility_balancer,player,territory,27,23,14,13,23,9,22,8,5,28,82,70,12,16,2,4,2,24,7,54,0,0,18,21,28,16,2,6,23,2,104,10,3,8,12,8,10,9,7,11,1,1,1
4,37,utility_balancer_vs_phase_player,utility_balancer,phase_player,player,full_board_majority,27,23,14,13,19,18,18,17,0,33,60,36,24,42,1,9,2,13,19,24,25,1,7,14,36,17,0,6,28,20,9,17,82,83,10,12,3,4,12,12,13,16,3
4,37,utility_balancer_vs_rusher,utility_balancer,rusher,enemy,territory,44,23,22,22,12,23,11,22,2,31,136,109,27,35,6,10,2,40,19,50,35,6,11,12,86,0,0,29,63,4,16,10,5,302,12,3,12,7,10,9,4,6,2
4,37,utility_balancer_vs_utility_balancer,utility_balancer,utility_balancer,player,full_board_majority,17,23,9,8,19,18,18,17,0,33,9,7,2,35,1,5,2,13,18,5,16,0,7,15,4,19,1,6,0,19,3,2,9,9,4,12,5,12,12,11,17,33,3
5,61,phase_player_vs_phase_player,phase_player,phase_player,player,full_board_majority,58,37,29,29,31,30,30,29,0,57,147,113,34,54,14,49,2,21,28,77,23,6,12,29,70,31,8,9,93,113,804,42,73,631,12,12,12,0,12,11,20,20,1
5,61,phase_player_vs_rusher,phase_player,rusher,enemy,territory,102,37,51,51,23,37,22,36,1,56,291,260,31,39,55,55,2,111,33,124,39,55,27,23,167,0,0,84,5,93,1584,16,379,2377,12,4,12,2,12,6,8,8,1
5,61,phase_player_vs_utility_balancer,phase_player,utility_balancer,player,full_board_majority,49,37,25,24,32,29,31,28,0,57,117,67,50,85,0,14,2,17,21,68,36,0,8,36,49,49,0,9,49,76,487,121,50,214,0,4,8,0,12,12,26,34,3
5,61,rusher_vs_phase_player,rusher,phase_player,enemy,full_board_majority,96,37,48,48,28,33,27,32,0,57,261,233,28,36,53,55,2,110,25,145,0,2,89,32,116,36,51,21,28,74,1589,110,99,2090,0,10,12,12,12,7,8,8,1
5,61,rusher_vs_rusher,rusher,rusher,enemy,territory,74,37,37,37,2,37,1,36,22,35,192,192,0,0,5,8,2,197,16,88,0,2,109,19,104,0,3,88,0,0,191,10,2,788,1,6,8,3,9,10,0,0,0
5,61,rusher_vs_utility_balancer,rusher,utility_balancer,player,territory,109,37,55,54,37,16,36,15,8,49,425,348,77,109,3,13,2,50,17,260,0,0,45,32,165,109,3,5,344,34,1047,391,129,363,5,12,8,12,1,12,8,18,3
5,61,utility_balancer_vs_phase_player,utility_balancer,phase_player,enemy,territory,50,37,25,25,22,37,21,36,2,55,121,100,21,59,2,19,2,39,26,62,32,2,15,29,59,27,0,24,141,117,221,96,37,509,12,12,12,8,10,5,21,36,3
5,61,utility_balancer_vs_rusher,utility_balancer,rusher,enemy,territory,52,37,26,26,18,37,17,36,6,51,186,161,25,33,0,5,2,32,41,68,33,0,5,10,118,0,0,27,101,50,48,191,16,354,12,12,9,12,12,9,0,0,0
5,61,utility_balancer_vs_utility_balancer,utility_balancer,utility_balancer,player,full_board_majority,51,37,26,25,32,29,31,28,0,57,40,28,12,174,11,7,2,10,28,22,84,8,5,29,18,90,3,5,135,141,283,143,51,314,0,12,12,12,2,12,55,162,3
