side_length,board_size,matchup,winner,win_reason,final_round,threshold_60,p_controlled,e_controlled,neutral_fields,fortify,raid_absorbed_by_shield,raid_takeovers,rebuild,p_rebuild,e_rebuild,wait,p_korn_waste,e_korn_waste
4,37,phase_player_vs_phase_player,enemy,full_board_majority,26,23,15,22,0,28,13,38,12,7,5,11,72,108
4,37,phase_player_vs_rusher,enemy,territory,38,23,11,23,3,22,16,78,18,18,0,42,144,235
4,37,phase_player_vs_utility_balancer,player,territory,21,23,23,8,6,34,12,16,5,0,5,13,80,0
4,37,rusher_vs_phase_player,player,full_board_majority,33,23,21,16,0,19,12,62,9,0,9,49,171,123
4,37,rusher_vs_rusher,enemy,territory,74,23,8,23,6,0,0,203,13,13,0,188,133,593
4,37,rusher_vs_utility_balancer,player,territory,32,23,23,3,11,29,24,25,12,0,12,70,219,8
4,37,utility_balancer_vs_phase_player,enemy,full_board_majority,28,23,15,22,0,49,27,23,7,6,1,10,10,112
4,37,utility_balancer_vs_rusher,enemy,territory,28,23,2,23,12,18,16,18,2,2,0,80,0,247
4,37,utility_balancer_vs_utility_balancer,player,full_board_majority,19,23,19,18,0,40,0,4,11,6,5,11,30,17
5,61,phase_player_vs_phase_player,player,full_board_majority,58,37,31,30,0,54,34,113,14,6,8,21,804,631
5,61,phase_player_vs_rusher,enemy,territory,102,37,23,37,1,39,31,260,55,55,0,111,1584,2377
5,61,phase_player_vs_utility_balancer,player,territory,57,37,37,14,10,89,61,53,33,6,27,19,894,120
5,61,rusher_vs_phase_player,enemy,full_board_majority,96,37,28,33,0,36,28,233,53,2,51,110,1589,2090
5,61,rusher_vs_rusher,enemy,territory,74,37,2,37,22,0,0,192,5,2,3,197,191,788
5,61,rusher_vs_utility_balancer,player,territory,95,37,37,14,10,173,146,119,16,0,16,55,880,258
5,61,utility_balancer_vs_phase_player,enemy,territory,40,37,6,37,18,70,44,27,9,9,0,29,0,374
5,61,utility_balancer_vs_rusher,enemy,territory,70,37,4,37,20,110,85,96,8,8,0,72,41,830
5,61,utility_balancer_vs_utility_balancer,enemy,territory,43,37,22,37,2,87,0,9,77,58,19,10,155,263
