side_length,board_size,matchup,winner,win_reason,final_round,threshold_60,p_controlled,e_controlled,neutral_fields,fortify,raid_absorbed_by_shield,raid_takeovers,rebuild,p_rebuild,e_rebuild,wait,p_korn_waste,e_korn_waste
4,37,phase_player_vs_phase_player,enemy,full_board_majority,26,23,15,22,0,28,13,38,12,7,5,11,72,108
4,37,phase_player_vs_rusher,enemy,territory,38,23,11,23,3,22,16,78,18,18,0,42,144,235
4,37,phase_player_vs_utility_balancer,player,territory,27,23,23,11,3,46,21,19,6,2,4,15,155,8
4,37,rusher_vs_phase_player,player,full_board_majority,33,23,21,16,0,19,12,62,9,0,9,49,171,123
4,37,rusher_vs_rusher,enemy,territory,74,23,8,23,6,0,0,203,13,13,0,188,133,593
4,37,rusher_vs_utility_balancer,player,territory,39,23,23,4,10,39,35,30,16,0,16,77,325,0
4,37,utility_balancer_vs_phase_player,enemy,territory,29,23,14,23,0,53,30,16,11,9,2,10,10,157
4,37,utility_balancer_vs_rusher,enemy,territory,30,23,2,23,12,17,17,22,1,1,0,89,0,257
4,37,utility_balancer_vs_utility_balancer,player,full_board_majority,19,23,19,18,0,40,0,4,11,6,5,11,30,17
5,61,phase_player_vs_phase_player,player,full_board_majority,58,37,31,30,0,54,34,113,14,6,8,21,804,631
5,61,phase_player_vs_rusher,enemy,territory,102,37,23,37,1,39,31,260,55,55,0,111,1584,2377
5,61,phase_player_vs_utility_balancer,player,territory,55,37,37,13,11,114,86,21,17,5,12,13,868,79
5,61,rusher_vs_phase_player,enemy,full_board_majority,96,37,28,33,0,36,28,233,53,2,51,110,1589,2090
5,61,rusher_vs_rusher,enemy,territory,74,37,2,37,22,0,0,192,5,2,3,197,191,788
5,61,rusher_vs_utility_balancer,player,territory,104,37,37,13,11,194,177,120,24,0,24,52,1068,311
5,61,utility_balancer_vs_phase_player,enemy,territory,64,37,5,37,19,60,45,57,38,5,33,111,58,1097
5,61,utility_balancer_vs_rusher,,none,121,37,17,26,18,229,212,140,27,27,0,64,190,1150
5,61,utility_balancer_vs_utility_balancer,enemy,territory,43,37,22,37,2,87,0,9,77,58,19,10,155,263
