side_length,matchup,round,actor,actor_policy,action_index,candidate_action_type,candidate_target,candidate_source,candidate_field_type,tunnel_score,normal_baseline,opportunity_cost,chosen,reasons
4,utility_tunneler_vs_phase_player,1,player,utility_tunneler,1,wait,,,,0.0,1.252,1.252,F,opportunity_cost:-1.2520
4,utility_tunneler_vs_phase_player,1,player,utility_tunneler,2,wait,,,,0.0,0.0265,0.0265,T,opportunity_cost:-0.0265
4,utility_tunneler_vs_phase_player,1,player,utility_tunneler,3,wait,,,,0.0,0.0265,0.0265,T,opportunity_cost:-0.0265
4,utility_tunneler_vs_phase_player,2,player,utility_tunneler,1,wait,,,,0.0,1.9923,1.9923,F,opportunity_cost:-1.9923
4,utility_tunneler_vs_phase_player,2,player,utility_tunneler,2,wait,,,,0.0,0.0265,0.0265,T,opportunity_cost:-0.0265
4,utility_tunneler_vs_phase_player,2,player,utility_tunneler,3,wait,,,,0.0,0.0265,0.0265,T,opportunity_cost:-0.0265
4,utility_tunneler_vs_phase_player,3,player,utility_tunneler,1,tunnel_entrance,"(-3, 1)",,,0.1382,0.5495,0.4113,F,resource_fit:0.0208|tunnel_access_gain:0.1000|enemy_tunnel_threat:0.0000|collapse_risk:-0.0000|territory_pressure:0.0174|opportunity_cost:-0.4113
4,utility_tunneler_vs_phase_player,3,player,utility_tunneler,1,tunnel_entrance,"(-2, 0)",,,0.1882,0.5495,0.3613,F,resource_fit:0.0208|tunnel_access_gain:0.1500|enemy_tunnel_threat:0.0000|collapse_risk:-0.0000|territory_pressure:0.0174|opportunity_cost:-0.3613
4,utility_tunneler_vs_phase_player,3,player,utility_tunneler,1,tunnel_entrance,"(-1, 0)",,,0.0882,0.5495,0.4613,F,resource_fit:0.0208|tunnel_access_gain:0.0500|enemy_tunnel_threat:0.0000|collapse_risk:-0.0000|territory_pressure:0.0174|opportunity_cost:-0.4613
4,utility_tunneler_vs_phase_player,3,player,utility_tunneler,1,wait,,,,0.0,0.5495,0.5495,F,opportunity_cost:-0.5495
4,utility_tunneler_vs_phase_player,3,player,utility_tunneler,2,tunnel_entrance,"(-3, 1)",,,0.1339,0.308,0.1741,F,resource_fit:0.0208|tunnel_access_gain:0.1000|enemy_tunnel_threat:0.0000|collapse_risk:-0.0000|territory_pressure:0.0130|opportunity_cost:-0.1741
4,utility_tunneler_vs_phase_player,3,player,utility_tunneler,2,tunnel_entrance,"(-2, 0)",,,0.1839,0.308,0.1241,F,resource_fit:0.0208|tunnel_access_gain:0.1500|enemy_tunnel_threat:0.0000|collapse_risk:-0.0000|territory_pressure:0.0130|opportunity_cost:-0.1241
4,utility_tunneler_vs_phase_player,3,player,utility_tunneler,2,tunnel_entrance,"(-1, 0)",,,0.1339,0.308,0.1741,F,resource_fit:0.0208|tunnel_access_gain:0.1000|enemy_tunnel_threat:0.0000|collapse_risk:-0.0000|territory_pressure:0.0130|opportunity_cost:-0.1741
4,utility_tunneler_vs_phase_player,3,player,utility_tunneler,2,wait,,,,0.0,0.308,0.308,F,opportunity_cost:-0.3080
4,utility_tunneler_vs_phase_player,3,player,utility_tunneler,3,wait,,,,0.0,0.0265,0.0265,T,opportunity_cost:-0.0265
